model,term,coef,std_err,p_value,ci_low,ci_high
OLS_WLS_GIVEPIFR_logINCOM0,RANK,-0.0652416431434697,0.02914503679910895,0.025187398507778583,-0.12236486559781777,-0.008118420689121622
OLS_WLS_GIVEPIFR_logINCOM0,SATFIN,-0.1005427909922647,0.04943895844837129,0.04198433935740242,-0.19744136898424464,-0.003644213000284738
OLS_WLS_GIVEPIFR_logINCOM0,FINPROS,-0.042001550161927935,0.05429053480401805,0.43914130480867775,-0.14840904307922162,0.06440594275536576
OLS_WLS_GIVEPIFR_logINCOM0,AGE,-0.019558990259204632,0.01850985838914542,0.29065782599408996,-0.05583764606086623,0.016719665542456973
OLS_WLS_GIVEPIFR_logINCOM0,I(AGE ** 2),0.00036388221725285253,0.00018031068073523976,0.043582445915144506,1.0479776983882431e-05,0.0007172846575218227
OLS_WLS_GIVEPIFR_logINCOM0,EDUC,0.04114706328965309,0.033487001147249715,0.2191665542278185,-0.02448625290920782,0.106780379488514
OLS_WLS_GIVEPIFR_logINCOM0,ABLITINF,0.04239087488820177,0.04368693500984301,0.3318805312731412,-0.04323394432603252,0.12801569410243607
OLS_WLS_GIVEPIFR_logINCOM0,TECHHARM,0.051021375403544685,0.04083658213783019,0.21151746848718123,-0.02901685483831417,0.13105960564540353
OLS_WLS_GIVEPIPC_INCOME,Intercept,4.218271066954962,0.47216596080472245,4.113468400151048e-19,3.2928427890519556,5.143699344857969
OLS_WLS_GIVEPIPC_INCOME,C(SEX)[T.2.0],0.03303248526451738,0.06710258998329013,0.6225296090799098,-0.09848617437208948,0.16455114490112424
OLS_WLS_GIVEPIPC_INCOME,INCOME,0.006392017259774959,0.007910094201653992,0.4190424680012006,-0.009111482489785976,0.021895517009335893
OLS_WLS_GIVEPIPC_INCOME,RANK,-0.06406185343355042,0.027391169517512873,0.019346947108176367,-0.11774755918230702,-0.010376147684793821
OLS_WLS_GIVEPIPC_INCOME,SATFIN,-0.07755245465033674,0.043340857382702956,0.07355664119360772,-0.16249897417952144,0.007394064878847972
OLS_WLS_GIVEPIPC_INCOME,FINPROS,-0.08296235486955607,0.05135686099025811,0.1062220707072092,-0.183619952769492,0.01769524303037988
OLS_WLS_GIVEPIPC_INCOME,AGE,-0.03752670740783524,0.016752635023501446,0.025087803642802123,-0.07036126870004239,-0.004692146115628085
OLS_WLS_GIVEPIPC_INCOME,I(AGE ** 2),0.0004563152909646679,0.00016200289071062923,0.004851819277792216,0.0001387954597804561,0.0007738351221488796
OLS_WLS_GIVEPIPC_INCOME,EDUC,0.05672425754997763,0.029833829322219764,0.057257473196198845,-0.0017489734424881165,0.11519748854244338
OLS_WLS_GIVEPIPC_INCOME,ABLITINF,0.02020082738747875,0.038330368188017536,0.5981804834842062,-0.05492531377519544,0.09532696855015294
OLS_WLS_GIVEPIPC_INCOME,TECHHARM,0.20656716210880585,0.035531508293683095,6.1131226495949074e-09,0.13692668553680076,0.27620763868081094
OLS_WLS_GIVEPIPC_logINCOM0,Intercept,4.062334209296657,0.47645045708479594,1.5117248587820834e-17,3.1285084729928103,4.996159945600504
OLS_WLS_GIVEPIPC_logINCOM0,C(SEX)[T.2.0],0.03418094255204285,0.06699179181040839,0.6098932583658019,-0.09712055665616293,0.16548244176024862
OLS_WLS_GIVEPIPC_logINCOM0,log_INCOM0,0.03504015394339263,0.059125978153278795,0.553425112191827,-0.08084463378773586,0.15092494167452114
OLS_WLS_GIVEPIPC_logINCOM0,RANK,-0.06231280745951617,0.027514572025266745,0.023529854195097424,-0.11624037767907228,-0.008385237239960062
OLS_WLS_GIVEPIPC_logINCOM0,SATFIN,-0.07920865986846928,0.04327616254860463,0.06720405691114835,-0.16402837985283547,0.005611060115896904
OLS_WLS_GIVEPIPC_logINCOM0,FINPROS,-0.08393552369653043,0.05151230956189415,0.10322275684328865,-0.18489779519832122,0.017026747805260353
OLS_WLS_GIVEPIPC_logINCOM0,AGE,-0.03709971275840282,0.01706508403869451,0.029704166776991378,-0.07054666286739339,-0.00365276264941225
OLS_WLS_GIVEPIPC_logINCOM0,I(AGE ** 2),0.0004515018588832261,0.000165706672767374,0.006435889308574979,0.00012672274826120886,0.0007762809695052433
OLS_WLS_GIVEPIPC_logINCOM0,EDUC,0.05893349015176064,0.02956643285738297,0.046233346078715466,0.000984346599968336,0.11688263370355294
OLS_WLS_GIVEPIPC_logINCOM0,ABLITINF,0.019769773955927522,0.03827227516806995,0.6054661268245658,-0.055242506979896217,0.09478205489175126
OLS_WLS_GIVEPIPC_logINCOM0,TECHHARM,0.20547619285927515,0.035621356724231494,8.005488819199876e-09,0.13565961659932774,0.27529276911922257
